"Event","Gender","Participant","Country","Venue","Date","Mark"
"high-jump","women","Stefka Kostadinova","BUL","Roma (WC)","1987-08-30",2.09
"pole-vault","women","Yelena Isinbayeva","RUS","Zürich","2009-08-28",5.06
"long-jump","women","Galina Chistyakova","RUS","Leningrad","1988-06-11",7.52
"triple-jump","women","Inessa Kravets","UKR","Göteborg (WC)","1995-08-10",15.5
